"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8250","capture the Insufficient token error message","chromium","Wed Aug 07 15:39:27 IST 2024","passed","Wed Aug 07 15:39:36 IST 2024","","candy.spec.js","",""
"","0","Generate the Image","chromium","Wed Aug 07 15:39:27 IST 2024","skipped","Wed Aug 07 15:39:27 IST 2024","","candy.spec.js","",""
